,EvsRHE/V,filename,q/mCcm^-2_ECSA
600,0.84965031,20180104_POR_Pd_085_03_CA_C01.mpt,1.708027733348566
600,0.6996179889999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.1921664100152815
600,0.799920737,20180226_POR_Pd_113_03_CA_C01.mpt,0.5703877748435054
600,0.90004384,20180227_POR_Pd_114_03_CA_C01.mpt,2.4329642072409494
600,0.94988879,20180227_POR_Pd_115_03_CA_C01.mpt,3.3869089019495413
600,1.10006373,20180313_Pd_118_03_CA_C01.mpt,1.9722723538767397
600,1.1996302399999998,20180313_Pd_119_03_CA_C01.mpt,1.930535556771316
3300,1.09607987,20171122_Pd_064_05_CA_C01.mpt,3.5406740353340567
3300,0.696764733,20171123_Pd_065_05_CA_C01.mpt,1.0649760802370276
3300,1.187685,20171123_Pd_066_05_CA_C01.mpt,3.442922610985703
3300,0.84683645,20171203_Pd_069_05_CA_C01.mpt,5.548646810829413
3300,0.99652411,20171203_Pd_070_05_CA_C01.mpt,5.9675158324552156
3300,0.89717625,20171212_AW_Pd_073_05_CA_C01.mpt,15.397012568428107
3300,0.699376796,20171213_AW_Pd_074_05_CA_C01.mpt,1.307584767063922
3300,0.799776717,20171214_AW_Pd_076_05_CA_C01.mpt,4.042484096167388
3300,0.8497455399999999,20171214_AW_Pd_077_05_CA_C01.mpt,7.405604468325793
3300,0.999992,20171214_AW_Pd_078_05_CA_C01.mpt,5.7510124552488735
3300,0.89978847,20171219_AW_Pd_079_05_CA_C01.mpt,8.036542350040143
3300,0.94978999,20171219_AW_Pd_080_05_CA_C01.mpt,9.80593004765488
3300,0.94976197,20180103_POR_Pd_081_03_CA_C01.mpt,19.412374133193772
3300,0.799541376,20180104_POR_Pd_084_03_CA_C01.mpt,4.001553125730312
3300,0.84952408,20180104_POR_Pd_085_03_CA_C01.mpt,8.084351713698162
3300,0.699841988,20180226_POR_Pd_112_03_CA_C01.mpt,0.7179726307746561
3300,0.800085268,20180226_POR_Pd_113_03_CA_C01.mpt,1.5645720667057903
3300,0.89987209,20180227_POR_Pd_114_03_CA_C01.mpt,10.826916323345817
3300,0.9497549399999999,20180227_POR_Pd_115_03_CA_C01.mpt,11.812758342889907
3300,1.10009383,20180313_Pd_118_03_CA_C01.mpt,3.0829684970178928
3300,1.2002327,20180313_Pd_119_03_CA_C01.mpt,3.2990804435653565
