,EvsRHE/V,filename,i/mAcm^-2_ECSA
180,0.89663058,20171212_AW_Pd_073_05_CA_C01.mpt,4.526600900295389
180,0.699792872,20171213_AW_Pd_074_05_CA_C01.mpt,0.550249616374679
180,0.800206228,20171214_AW_Pd_076_05_CA_C01.mpt,1.5811089372136622
180,0.84989561,20171214_AW_Pd_077_05_CA_C01.mpt,3.273521566603381
180,0.99977605,20171214_AW_Pd_078_05_CA_C01.mpt,3.970152029437436
180,0.8997417799999999,20171219_AW_Pd_079_05_CA_C01.mpt,2.953732440549989
180,0.94992672,20171219_AW_Pd_080_05_CA_C01.mpt,5.437964331357732
180,0.9497795699999999,20180103_POR_Pd_081_03_CA_C01.mpt,6.4492707427658775
180,0.799797743,20180104_POR_Pd_084_03_CA_C01.mpt,1.743156754753248
180,0.8491456599999999,20180104_POR_Pd_085_03_CA_C01.mpt,2.7172820842938172
180,0.699937319,20180226_POR_Pd_112_03_CA_C01.mpt,0.3267900243328749
180,0.7998733809999999,20180226_POR_Pd_113_03_CA_C01.mpt,0.9734170791738206
180,0.89964151,20180227_POR_Pd_114_03_CA_C01.mpt,3.935843706748603
180,0.95019764,20180227_POR_Pd_115_03_CA_C01.mpt,5.665412484087183
180,1.09993051,20180313_Pd_118_03_CA_C01.mpt,1.631233348716086
180,1.1998670200000001,20180313_Pd_119_03_CA_C01.mpt,1.3737624688322465
600,1.0967857099999998,20171122_Pd_064_05_CA_C01.mpt,0.7819438814410927
600,0.697140263,20171123_Pd_065_05_CA_C01.mpt,0.3845740562487213
600,1.1874616599999999,20171123_Pd_066_05_CA_C01.mpt,0.8116528206816248
600,0.84723447,20171203_Pd_069_05_CA_C01.mpt,1.687290461020033
600,0.9968561699999999,20171203_Pd_070_05_CA_C01.mpt,1.8418147068014021
600,0.89638442,20171212_AW_Pd_073_05_CA_C01.mpt,4.601093730091739
600,0.699679743,20171213_AW_Pd_074_05_CA_C01.mpt,0.4214691703877082
600,0.799410797,20171214_AW_Pd_076_05_CA_C01.mpt,1.4017656697463408
600,0.84941576,20171214_AW_Pd_077_05_CA_C01.mpt,2.858808773051422
600,1.00016318,20171214_AW_Pd_078_05_CA_C01.mpt,1.8571473298178525
600,0.89992301,20171219_AW_Pd_079_05_CA_C01.mpt,2.6589589360513872
600,0.94972853,20171219_AW_Pd_080_05_CA_C01.mpt,3.748298360966843
600,0.95005555,20180103_POR_Pd_081_03_CA_C01.mpt,5.278538877834871
600,0.79994735,20180104_POR_Pd_084_03_CA_C01.mpt,1.4315082922684061
600,0.84965031,20180104_POR_Pd_085_03_CA_C01.mpt,2.729385050919126
600,0.6996179889999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.2527238797961998
600,0.799920737,20180226_POR_Pd_113_03_CA_C01.mpt,0.7045596529445818
600,0.90004384,20180227_POR_Pd_114_03_CA_C01.mpt,3.624263206909357
600,0.94988879,20180227_POR_Pd_115_03_CA_C01.mpt,3.8761620487154778
600,1.10006373,20180313_Pd_118_03_CA_C01.mpt,0.6577574234489886
600,1.1996302399999998,20180313_Pd_119_03_CA_C01.mpt,0.7644350310874876
3300,1.09607987,20171122_Pd_064_05_CA_C01.mpt,0.3470395169520597
3300,0.696764733,20171123_Pd_065_05_CA_C01.mpt,0.22469792101048253
3300,1.187685,20171123_Pd_066_05_CA_C01.mpt,0.3864813846852936
3300,0.84683645,20171203_Pd_069_05_CA_C01.mpt,1.589125614639362
3300,0.99652411,20171203_Pd_070_05_CA_C01.mpt,1.2790995479790692
3300,0.89717625,20171212_AW_Pd_073_05_CA_C01.mpt,4.548150621743296
3300,0.699376796,20171213_AW_Pd_074_05_CA_C01.mpt,0.3492798997576873
3300,0.799776717,20171214_AW_Pd_076_05_CA_C01.mpt,0.9874938892641089
3300,0.8497455399999999,20171214_AW_Pd_077_05_CA_C01.mpt,1.6319700308596403
3300,0.999992,20171214_AW_Pd_078_05_CA_C01.mpt,1.1721738414695424
3300,0.89978847,20171219_AW_Pd_079_05_CA_C01.mpt,2.0898932154701715
3300,0.94978999,20171219_AW_Pd_080_05_CA_C01.mpt,1.8706567446846734
