,EvsRHE/V,filename,q/mCcm^-2_ECSA
180,0.89964151,20180227_POR_Pd_114_03_CA_C01.mpt,0.8600474441532509
180,0.95019764,20180227_POR_Pd_115_03_CA_C01.mpt,1.470918954988532
180,1.09993051,20180313_Pd_118_03_CA_C01.mpt,1.610060379193
180,1.1998670200000001,20180313_Pd_119_03_CA_C01.mpt,1.55532991416309
600,1.0967857099999998,20171122_Pd_064_05_CA_C01.mpt,2.294068025808764
600,0.697140263,20171123_Pd_065_05_CA_C01.mpt,0.2838741200960767
600,1.1874616599999999,20171123_Pd_066_05_CA_C01.mpt,2.0787968521782925
600,0.84723447,20171203_Pd_069_05_CA_C01.mpt,1.0991837054549651
600,0.9968561699999999,20171203_Pd_070_05_CA_C01.mpt,2.5690178671573785
600,0.89638442,20171212_AW_Pd_073_05_CA_C01.mpt,2.829361350173243
600,0.699679743,20171213_AW_Pd_074_05_CA_C01.mpt,0.33216181399963923
600,0.799410797,20171214_AW_Pd_076_05_CA_C01.mpt,0.91881128921963
600,0.84941576,20171214_AW_Pd_077_05_CA_C01.mpt,1.8931236836657888
600,1.00016318,20171214_AW_Pd_078_05_CA_C01.mpt,2.5633603326787573
600,0.89992301,20171219_AW_Pd_079_05_CA_C01.mpt,1.8485660224796423
600,0.94972853,20171219_AW_Pd_080_05_CA_C01.mpt,3.245464469392875
600,0.95005555,20180103_POR_Pd_081_03_CA_C01.mpt,3.9902522123314563
600,0.79994735,20180104_POR_Pd_084_03_CA_C01.mpt,1.0222341529287968
600,0.84965031,20180104_POR_Pd_085_03_CA_C01.mpt,1.7066628710045664
600,0.6996179889999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.19207609564093528
600,0.799920737,20180226_POR_Pd_113_03_CA_C01.mpt,0.570946212061876
600,0.90004384,20180227_POR_Pd_114_03_CA_C01.mpt,2.4320533258455006
600,0.94988879,20180227_POR_Pd_115_03_CA_C01.mpt,3.3869089019495413
600,1.10006373,20180313_Pd_118_03_CA_C01.mpt,2.009506145681413
600,1.1996302399999998,20180313_Pd_119_03_CA_C01.mpt,1.9688148454935626
3300,1.09607987,20171122_Pd_064_05_CA_C01.mpt,3.5703726722824625
3300,0.696764733,20171123_Pd_065_05_CA_C01.mpt,1.0648055476381102
3300,1.187685,20171123_Pd_066_05_CA_C01.mpt,3.4567948753462603
3300,0.84683645,20171203_Pd_069_05_CA_C01.mpt,5.578082602929305
3300,0.99652411,20171203_Pd_070_05_CA_C01.mpt,5.954965851735016
3300,0.89717625,20171212_AW_Pd_073_05_CA_C01.mpt,15.403896222197385
3300,0.699376796,20171213_AW_Pd_074_05_CA_C01.mpt,1.3064052751217754
3300,0.799776717,20171214_AW_Pd_076_05_CA_C01.mpt,4.041264521319389
3300,0.8497455399999999,20171214_AW_Pd_077_05_CA_C01.mpt,7.391668441851712
3300,0.999992,20171214_AW_Pd_078_05_CA_C01.mpt,5.75234109391244
3300,0.89978847,20171219_AW_Pd_079_05_CA_C01.mpt,8.036542350040143
3300,0.94978999,20171219_AW_Pd_080_05_CA_C01.mpt,9.80839014049172
3300,0.94976197,20180103_POR_Pd_081_03_CA_C01.mpt,19.422539010341666
3300,0.799541376,20180104_POR_Pd_084_03_CA_C01.mpt,4.003892394481469
3300,0.84952408,20180104_POR_Pd_085_03_CA_C01.mpt,8.077891615296805
3300,0.699841988,20180226_POR_Pd_112_03_CA_C01.mpt,0.7176351979790858
3300,0.800085268,20180226_POR_Pd_113_03_CA_C01.mpt,1.5661038584296065
3300,0.89987209,20180227_POR_Pd_114_03_CA_C01.mpt,10.822862816672908
3300,0.9497549399999999,20180227_POR_Pd_115_03_CA_C01.mpt,11.812758342889907
3300,1.10009383,20180313_Pd_118_03_CA_C01.mpt,3.141170705720304
3300,1.2002327,20180313_Pd_119_03_CA_C01.mpt,3.364495686695279
