,(Q-Qo)/C,EvsRHE/V,filename
600,0.16509804600000005,1.1874616599999999,20171123_Pd_066_05_CA_C01.mpt
600,0.0953102191,0.84723447,20171203_Pd_069_05_CA_C01.mpt
600,0.14658815949999998,0.9968561699999999,20171203_Pd_070_05_CA_C01.mpt
600,0.25314296,0.89638442,20171212_AW_Pd_073_05_CA_C01.mpt
600,0.01841172935,0.699679743,20171213_AW_Pd_074_05_CA_C01.mpt
600,0.0913665946,0.799410797,20171214_AW_Pd_076_05_CA_C01.mpt
600,0.10060059255,0.84941576,20171214_AW_Pd_077_05_CA_C01.mpt
600,0.22191010400000005,1.00016318,20171214_AW_Pd_078_05_CA_C01.mpt
600,0.16117647149999997,0.89992301,20171219_AW_Pd_079_05_CA_C01.mpt
600,0.2587284275,0.94972853,20171219_AW_Pd_080_05_CA_C01.mpt
600,0.30481536649999996,0.95005555,20180103_POR_Pd_081_03_CA_C01.mpt
600,0.0874316871,0.79994735,20180104_POR_Pd_084_03_CA_C01.mpt
600,0.1495036675,0.84965031,20180104_POR_Pd_085_03_CA_C01.mpt
600,0.0163475965,0.6996179889999999,20180226_POR_Pd_112_03_CA_C01.mpt
600,0.029158223049999998,0.799920737,20180226_POR_Pd_113_03_CA_C01.mpt
600,0.194880433,0.90004384,20180227_POR_Pd_114_03_CA_C01.mpt
600,0.1181353825,0.94988879,20180227_POR_Pd_115_03_CA_C01.mpt
600,0.2480132485,1.10006373,20180313_Pd_118_03_CA_C01.mpt
600,0.22936692950000004,1.1996302399999998,20180313_Pd_119_03_CA_C01.mpt
3300,0.3984178865,1.09607987,20171122_Pd_064_05_CA_C01.mpt
3300,0.06649710645000001,0.696764733,20171123_Pd_065_05_CA_C01.mpt
3300,0.274538649,1.187685,20171123_Pd_066_05_CA_C01.mpt
3300,0.4836755424999999,0.84683645,20171203_Pd_069_05_CA_C01.mpt
3300,0.3397903515,0.99652411,20171203_Pd_070_05_CA_C01.mpt
3300,1.378186595,0.89717625,20171212_AW_Pd_073_05_CA_C01.mpt
3300,0.0724140444,0.699376796,20171213_AW_Pd_074_05_CA_C01.mpt
3300,0.401863344,0.799776717,20171214_AW_Pd_076_05_CA_C01.mpt
3300,0.392793261,0.8497455399999999,20171214_AW_Pd_077_05_CA_C01.mpt
3300,0.4979801685,0.999992,20171214_AW_Pd_078_05_CA_C01.mpt
3300,0.7007061274999999,0.89978847,20171219_AW_Pd_079_05_CA_C01.mpt
3300,0.781924862,0.94978999,20171219_AW_Pd_080_05_CA_C01.mpt
3300,1.4836877549999998,0.94976197,20180103_POR_Pd_081_03_CA_C01.mpt
3300,0.34245291650000004,0.799541376,20180104_POR_Pd_084_03_CA_C01.mpt
3300,0.7076233055000001,0.84952408,20180104_POR_Pd_085_03_CA_C01.mpt
3300,0.0610779317,0.699841988,20180226_POR_Pd_112_03_CA_C01.mpt
3300,0.07998092405000001,0.800085268,20180226_POR_Pd_113_03_CA_C01.mpt
3300,0.8672359974999999,0.89987209,20180227_POR_Pd_114_03_CA_C01.mpt
3300,0.412029011,0.9497549399999999,20180227_POR_Pd_115_03_CA_C01.mpt
3300,0.3876832885,1.10009383,20180313_Pd_118_03_CA_C01.mpt
3300,0.3919637475,1.2002327,20180313_Pd_119_03_CA_C01.mpt
